,T (s),Latitude,Longitude,acce_1,acce_2,acce_3,gyro_1,gyro_2,gyro_3
142,8193.724,49.225708,-122.997636,0.39469457,-8.739394033,1.181600311,0.615387647,-0.766091852,-0.021566219
143,8195.244,49.225691,-122.997648,-2.942779074,-13.91945619,1.400281081,-1.952965124,0.900141836,0.691121377
144,8197.364,49.225687,-122.997647,-1.157325267,-7.407721656,1.199307824,0.053078024,-0.556156753,0.375756162
145,8202.874,49.225682,-122.997597,-0.735773788,-9.454046283,0.045811214,-0.082728925,0.154393375,-0.027174475
146,8211.924,49.225718,-122.997495,-1.192465543,-10.14639536,0.12495988,-0.076412751,0.131482119,0.050430557
147,8234.504,49.225659,-122.997393,0.488887644,7.702399114,8.365232539,-0.23432749,0.026047164,-0.237684418
148,8243.529,49.225666,-122.997321,0.920972364,4.649403655,12.02115454,-0.5540085,0.108613358,-0.435814338
149,8251.504,49.225665,-122.997227,-0.368744783,7.409323648,7.048252951,0.231288344,-0.248426615,-0.664514592
150,8262.484,49.22559,-122.99722,-5.452172052,2.404647989,5.568389679,0.482880422,1.885397943,-2.193751756
151,8263.514,49.225585,-122.997216,-11.24187494,-7.933492189,3.691975435,0.789267496,0.952208358,-1.797558294
152,8317.184,49.225545,-122.997266,-0.202561832,-8.770122575,0.648425599,0.341253521,-0.447852843,-0.043492014
153,8334.914,49.22558,-122.997242,-0.402933889,-9.660006778,1.021736333,0.009486953,-0.010581,0.006525785
154,8376.499,49.22563,-122.997173,-1.170993393,5.081083307,10.32093708,-0.22423327,-0.87784718,-0.061330706
155,8379.504,49.225642,-122.997169,-1.012660507,7.166064388,6.479088986,0.19884525,-0.105545394,-0.198843759
156,8381.499,49.225646,-122.997168,-0.144418222,6.493310815,7.151610588,0.081242,-0.035663429,-0.081906106
157,8384.499,49.225651,-122.997168,-0.635863832,6.957516001,4.957630722,0.025242572,0.292354842,0.404273
158,8396.504,49.225581,-122.997184,-2.144795627,3.976564107,7.427170643,0.850423503,-0.514379318,-0.515472938
159,8401.304,49.22552,-122.997155,-1.366979957,6.686617718,6.636960991,0.465902893,0.682376167,0.692866702
160,8418.819,49.225663,-122.997121,-2.100287262,5.357708248,10.40481905,1.080019705,0.335339494,0.699760471
161,8428.099,49.225685,-122.997102,-0.878485184,3.512003595,4.871986588,-0.150258234,0.033584283,0.893917268
162,8431.499,49.225675,-122.997051,-3.287724479,4.365987603,7.135122003,-0.210248788,-0.015268919,0.649375707
163,8441.514,49.225691,-122.99692,2.699472076,-7.260829795,-0.975542346,1.087499535,0.200264238,-0.069534948
164,8445.344,49.225685,-122.996829,5.209283434,-12.21100173,0.479128712,-3.296268659,2.598777568,0.571118181
165,8451.064,49.225657,-122.99675,2.531869207,-11.11930947,1.468490815,-2.550445782,0.95562013,0.611209329
166,8457.144,49.22565,-122.996672,-6.506556039,-3.812311771,6.727824975,-1.510818732,-2.421308503,4.989356546
167,8462.499,49.225664,-122.996626,0.579079302,5.271721377,6.705546163,0.3274632,-0.4547362,-0.586023917
168,8466.309,49.225693,-122.996629,-3.208349086,4.205101745,5.898587543,0.356476959,1.022457994,0.659833561
169,8475.059,49.225704,-122.99672,-1.33975306,5.426912284,5.846718766,-0.529285062,-0.022161721,0.259810247
170,8481.204,49.225696,-122.996824,0.295844743,5.293402142,6.563297896,0.374496368,-0.214574274,-0.389882078
171,8484.444,49.2257,-122.996888,-0.002269765,3.958596597,7.007651235,0.202420583,-0.360499633,-0.318399636
172,8485.514,49.225703,-122.99694,-0.05295556,3.496844604,7.061377403,0.703688521,-0.14054263,-0.348581612
173,8488.509,49.225719,-122.997009,-0.245280421,6.337917036,8.515627031,0.298475307,-0.114494491,-0.378078733
174,8500.504,49.225752,-122.997171,-0.158420055,7.718207192,6.797264607,0.168759977,0.107768981,0.12856695
175,8502.504,49.225756,-122.997172,-1.076276127,6.627447241,5.677789372,0.150164718,-0.094369563,0.162919949
176,8520.504,49.225719,-122.997304,0.001787466,-10.5134881,-3.38458356,1.130171934,-0.910030568,0.443150788
177,8523.024,49.225711,-122.997312,-1.846229119,-9.972933683,-1.221244,0.843488033,-1.167991955,0.389532867
178,8530.529,49.22569,-122.997338,-0.574975176,6.056838768,5.713012252,0.224466843,-0.164443993,-0.3447176
179,8545.499,49.225668,-122.997439,-0.69393633,5.715054307,5.958970069,0.106626029,-0.090180871,0.416034788
180,8546.084,49.225666,-122.997444,-0.103419683,5.764443117,6.8376192,-0.132394557,-0.356088289,-0.177420423
181,8551.504,49.225651,-122.997508,-1.078037534,6.099404596,6.246367893,-0.580181521,-0.029394626,-0.198102213
182,8585.499,49.225658,-122.998244,-1.691290495,6.072671587,6.919821619,-0.181740515,0.781222811,0.938892126
183,8586.004,49.225661,-122.998232,-0.983152249,5.471132999,6.89498742,0.085136216,0.101632209,0.153904603
184,8587.204,49.225656,-122.998245,-0.204804731,4.879717186,8.465533,0.14415465,-0.116683765,-0.490504718
185,8595.484,49.225634,-122.998371,-2.486352243,5.055624964,7.081929767,0.261541721,-0.009049826,0.11168145
186,8604.084,49.225681,-122.998442,-0.536247009,4.259920661,4.956107445,0.911319351,-0.287341055,-0.313493
187,8612.509,49.225794,-122.998458,-1.221504526,4.002706472,8.950402104,0.80573822,-0.6223126,-1.011547698
188,8623.229,49.225867,-122.998619,-0.417892218,6.409514659,7.391094659,-0.154402135,-0.471135126,0.137438215
189,8627.504,49.225887,-122.998623,-2.832310217,4.37905076,15.70067865,-0.611858122,-1.079465198,0.73188741
190,8639.499,49.225968,-122.998719,-0.037701528,6.009745451,6.299686603,0.045664021,0.129539102,0.059208803
191,8644.189,49.225975,-122.998692,-0.901031871,4.964986543,7.70844206,0.061214811,0.013103177,0.228278163
192,8656.504,49.226077,-122.998623,-0.092199215,6.70175478,6.773909845,0.018862208,0.195458754,0.159245208
193,8673.509,49.22619,-122.998506,-0.910879185,7.517434349,7.771232451,-0.851523564,0.044943499,0.31080204
194,8678.499,49.226195,-122.998587,-0.375514861,6.574600193,8.085300121,-0.136434008,-0.02853954,-0.216537754
195,8679.139,49.226191,-122.998585,-1.496050719,5.87783428,5.447244516,-0.167663143,0.14238873,-0.019650588
196,8684.964,49.226091,-122.998637,0.785367137,4.047583154,6.864155606,0.149672051,0.056159619,-0.295297466
197,8699.504,49.225974,-122.998718,1.446089692,7.427596267,7.174563309,0.426207783,-0.144941556,-0.043782855
198,8700.504,49.225971,-122.998722,0.969446986,6.358157368,6.710090368,0.105547356,-0.112438703,0.363515297
199,8704.504,49.225956,-122.998737,-4.955220604,-15.7251171,-6.563503223,-3.563043273,2.544992875,-0.702783001
200,8712.344,49.225932,-122.998817,3.954391578,-14.19016569,-2.83331635,-2.223742606,-2.95464454,-0.631270737
201,8713.439,49.225931,-122.998825,2.397718072,-13.91202495,-3.977416079,-2.461546554,-1.063596893,-0.685361611
202,8721.509,49.22595,-122.998924,1.555104653,-12.81773394,1.052338575,1.974006569,-0.666113865,-0.897988375
203,8724.204,49.225959,-122.99895,6.856598309,-14.03254382,-2.112862926,-3.421315228,1.328283541,-0.587767581
204,8725.304,49.225962,-122.998962,1.114732813,-13.57825671,-4.949737742,-2.742111448,0.957074412,-1.52342179
